additives_n,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,sodium_100g,nutrition-score-uk_100g,healthy_label
2.0,0.0,0.0,93.02,58.14,0.0,0.0,0.047,14.0,0
8.0,0.0,0.0,75.0,47.5,0.0,5.0,0.025,13.0,0
4.0,4.55,0.0,90.91,54.55,0.0,0.0,0.045,15.0,0
2.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,14.0,0
1.0,10.0,2.5,80.0,60.0,0.0,5.0,0.25,18.0,0
0.0,0.0,0.0,3.33,0.0,3.3,0.0,0.6,2.0,1
1.0,0.0,0.0,10.68,8.97,0.9,0.43,0.004,0.0,0
4.0,0.0,0.0,8.26,6.61,0.8,0.0,0.004,0.0,0
0.0,0.0,0.0,3.33,0.0,3.3,0.0,0.6,2.0,1
3.0,10.0,2.5,82.5,52.5,0.0,5.0,0.238,19.0,0
3.0,14.29,4.29,68.57,34.29,0.0,2.86,0.4,20.0,1
4.0,30.0,10.0,66.67,66.67,0.0,0.0,0.033,25.0,0
4.0,1.06,0.0,6.78,6.36,0.4,0.42,0.068,1.0,1
4.0,1.01,0.0,7.77,7.09,0.3,0.68,0.101,2.0,1
3.0,1.04,0.0,3.33,2.92,0.4,0.42,0.067,0.0,1
1.0,33.33,23.81,4.76,0.0,0.0,23.81,1.286,24.0,0
5.0,3.53,1.57,9.8,1.18,1.2,8.24,0.255,-2.0,0
1.0,50.0,5.0,16.67,3.33,10.0,30.0,0.467,11.0,1
0.0,50.0,5.0,16.67,3.33,6.7,30.0,0.467,11.0,1
1.0,53.33,6.67,16.67,3.33,6.7,26.67,0.5,13.0,1
0.0,52.17,4.35,17.39,4.35,4.4,26.09,0.5870000000000001,12.0,1
2.0,31.58,21.05,5.26,0.0,0.0,21.05,1.211,24.0,0
0.0,85.71,10.71,0.0,0.0,0.0,0.0,0.5,24.0,0
0.0,78.57,14.29,0.0,0.0,0.0,0.0,0.536,23.0,0
1.0,0.0,0.0,85.0,72.5,0.0,0.0,0.038,14.0,0
0.0,22.68,3.28,0.14,0.0,0.0,1.13,1.605,15.0,1
1.0,7.5,5.0,80.0,47.5,0.0,2.5,0.3,21.0,0
3.0,78.57,14.29,0.0,0.0,0.0,0.0,1.143,28.0,0
10.0,19.57,10.87,33.7,29.35,1.1,4.35,0.185,21.0,0
5.0,10.0,0.0,40.0,40.0,0.0,0.0,0.0,10.0,0
3.0,21.43,3.57,57.14,3.57,3.6,7.14,0.929,13.0,0
2.0,25.0,3.57,60.71,3.57,3.6,7.14,1.071,13.0,0
3.0,57.14,7.14,17.86,3.57,10.7,21.43,0.321,13.0,1
1.0,57.14,7.14,17.86,3.57,10.7,21.43,0.321,13.0,1
1.0,42.86,5.36,25.0,7.14,10.7,17.86,3.143,17.0,1
4.0,0.0,0.0,86.67,66.67,3.3,0.0,0.14,11.0,1
0.0,0.0,0.0,7.06,3.53,4.7,3.53,0.012,-7.0,1
5.0,20.59,7.35,2.94,0.0,0.0,11.76,0.647,16.0,0
0.0,0.0,0.0,9.41,3.53,3.5,3.53,0.029,-6.0,1
0.0,1.0,0.0,60.0,2.0,30.0,26.0,0.0,-6.0,1
2.0,30.23,18.6,53.49,44.19,7.0,4.65,0.0,20.0,1
3.0,78.57,21.43,0.0,0.0,0.0,0.0,0.75,26.0,0
3.0,9.29,2.5,0.71,0.0,0.0,17.14,0.479,3.0,1
0.0,0.59,0.0,3.53,2.35,1.2,2.35,0.029,-2.0,1
0.0,42.86,4.76,28.57,0.0,28.6,19.05,0.024,0.0,1
0.0,50.0,8.33,23.33,6.67,6.7,20.0,0.16699999999999998,12.0,1
3.0,12.5,10.0,33.75,17.5,1.2,2.5,0.056,14.0,0
4.0,22.5,6.25,67.5,5.0,5.0,5.0,0.65,15.0,0
0.0,0.0,0.0,3.33,3.33,3.3,0.0,0.6,2.0,1
0.0,0.0,0.0,3.33,3.33,3.3,0.0,0.6,2.0,1
4.0,0.89,0.0,1.79,1.79,0.0,19.64,0.643,3.0,1
5.0,0.0,0.0,33.33,16.67,0.0,0.0,0.0,4.0,0
0.0,0.59,0.0,5.88,1.18,2.4,2.35,0.1,-3.0,1
0.0,0.0,0.0,14.29,10.39,3.2,0.0,0.0,-2.0,1
0.0,0.0,0.0,14.29,10.39,3.2,0.0,0.0,-2.0,1
0.0,0.0,0.0,14.05,10.33,2.1,0.41,0.0,0.0,1
0.0,0.0,0.0,14.05,10.33,2.1,0.41,0.0,0.0,1
0.0,0.0,0.0,14.05,10.33,2.1,0.41,0.0,0.0,1
0.0,0.0,0.0,17.57,0.68,1.4,2.03,0.0,-2.0,1
2.0,37.5,2.08,0.0,0.0,0.0,33.33,2.208,17.0,0
0.0,0.0,0.0,3.48,0.0,3.5,2.61,0.27,-3.0,1
1.0,29.41,10.29,52.94,47.06,2.9,11.76,0.412,26.0,1
0.0,14.0,3.5,2.0,0.0,0.0,25.0,0.37,4.0,1
0.0,1.92,0.77,17.69,0.0,6.9,5.38,0.385,-3.0,0
4.0,1.54,0.38,15.38,0.77,4.6,4.62,0.354,-3.0,0
2.0,8.12,1.25,16.88,3.12,0.6,15.62,0.412,2.0,1
2.0,1.79,0.0,3.57,0.0,0.0,15.48,0.429,0.0,1
0.0,0.0,0.0,4.71,2.35,1.2,1.18,0.029,-1.0,1
0.0,0.0,0.0,9.41,2.35,3.5,3.53,0.018000000000000002,-6.0,1
0.0,0.42,0.0,15.83,0.83,4.2,4.17,0.0,-6.0,0
0.0,0.0,0.0,3.33,0.0,3.3,0.0,0.5329999999999999,1.0,1
3.0,11.36,1.7,28.41,3.41,4.6,2.27,0.273,0.0,0
0.0,66.67,6.67,13.33,3.33,6.7,16.67,0.0,9.0,1
0.0,33.33,6.67,13.33,6.67,0.0,0.0,0.867,20.0,0
0.0,3.0,0.0,78.0,0.0,4.0,8.0,0.0,-5.0,1
0.0,0.71,0.0,12.14,8.57,2.9,0.71,0.0,-3.0,1
0.0,50.0,10.94,21.88,9.38,6.2,21.88,0.469,19.0,1
0.0,39.29,21.43,39.29,35.71,0.0,3.57,0.054000000000000006,23.0,1
1.0,5.41,0.68,75.68,28.38,6.8,8.11,0.486,10.0,1
1.0,3.0,2.0,13.33,10.67,0.0,3.33,0.047,2.0,1
3.0,3.0,2.0,14.0,12.67,0.0,7.33,0.033,0.0,1
6.0,6.67,0.0,6.67,0.0,0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,8.97,6.41,2.6,1.28,0.077,-2.0,1
0.0,40.0,3.33,6.67,0.0,3.3,3.33,1.067,14.0,0
0.0,65.52,6.9,13.79,3.45,6.9,13.79,0.0,9.0,1
0.0,2.33,0.0,76.74,0.0,4.7,9.3,0.0,-6.0,1
0.0,0.0,0.0,28.57,0.0,1.9,3.81,0.005,-3.0,1
0.0,64.29,7.14,14.29,0.0,7.1,14.29,0.0,10.0,1
2.0,0.0,0.0,85.71,85.71,0.0,0.0,0.0,14.0,0
3.0,23.53,11.76,37.65,23.53,1.2,4.71,0.271,21.0,0
0.0,30.0,3.33,20.0,13.33,0.0,0.0,0.833,18.0,0
4.0,1.56,0.39,15.62,0.78,4.7,6.25,0.32,-4.0,0
1.0,37.21,20.93,53.49,39.53,7.0,4.65,0.209,22.0,1
3.0,39.13,15.22,0.0,0.0,0.0,30.43,2.174,25.0,0
0.0,1.79,0.89,1.79,1.79,0.0,21.43,0.929,11.0,1
2.0,38.89,13.89,0.0,0.0,0.0,33.33,1.6669999999999998,25.0,0
4.0,26.32,7.89,3.51,1.75,0.0,10.53,0.737,18.0,0
0.0,0.0,0.0,20.91,0.91,1.8,2.73,0.009000000000000001,-2.0,1
2.0,0.0,0.0,88.2,35.3,2.94,5.88,0.471,12.0,0
1.0,0.0,0.0,89.7,34.5,3.45,3.45,0.517,12.0,0
0.0,0.0,0.0,14.29,10.39,3.2,0.0,0.0,-2.0,1
1.0,20.51,15.38,66.67,51.28,0.0,2.56,0.192,27.0,0
1.0,17.95,12.82,79.49,74.36,2.6,2.56,0.103,23.0,0
0.0,0.0,0.0,3.57,0.0,3.6,0.0,0.971,5.0,1
2.0,0.0,0.0,16.81,15.93,0.9,0.88,0.004,2.0,0
3.0,0.0,0.0,100.0,94.12,0.0,0.0,0.0,14.0,0
4.0,0.0,0.0,85.0,72.5,0.0,0.0,0.0,14.0,0
3.0,19.57,5.43,65.22,8.7,2.2,4.35,1.261,18.0,0
0.0,9.09,0.0,45.45,18.18,18.2,27.27,0.0,-1.0,1
0.0,1.14,0.25,3.43,1.96,0.3,0.49,0.006999999999999999,0.0,1
0.0,3.53,2.06,5.88,5.88,0.0,2.94,0.129,3.0,1
0.0,3.53,0.0,3.53,1.18,2.4,2.35,0.059,-4.0,1
2.0,24.24,4.55,41.41,24.24,1.0,5.05,0.293,16.0,0
0.0,1.95,0.78,14.06,0.78,3.9,4.69,0.398,-2.0,0
1.0,7.5,5.0,80.0,47.5,0.0,2.5,0.3,21.0,0
2.0,0.0,0.0,100.0,92.86,0.0,0.0,0.0,14.0,0
0.0,63.33,13.33,13.33,0.0,6.7,13.33,0.0,12.0,1
1.0,3.33,0.0,50.0,6.67,3.3,10.0,0.4,-1.0,0
14.0,3.19,0.0,48.94,6.38,4.3,10.64,0.489,-1.0,0
0.0,0.0,0.0,3.33,3.33,3.3,0.0,0.667,3.0,1
0.0,0.0,0.0,3.33,3.33,3.3,0.0,0.6,2.0,1
0.0,0.0,0.0,3.33,3.33,3.3,0.0,0.6,2.0,1
0.0,50.0,6.25,21.88,3.12,9.4,25.0,0.391,12.0,1
0.0,2.22,0.0,77.78,0.0,6.7,6.67,0.0,-5.0,1
0.0,0.0,0.0,7.06,2.35,2.4,2.35,0.012,-4.0,1
1.0,0.0,0.0,3.33,3.33,3.3,0.0,0.6,2.0,1
6.0,3.57,0.0,53.57,3.57,3.6,10.71,0.536,-2.0,0
7.0,30.23,10.47,9.3,6.98,0.0,9.3,1.279,25.0,0
6.0,8.33,2.38,2.38,0.0,0.0,16.67,0.5710000000000001,4.0,0
0.0,1.18,0.0,3.53,2.35,1.2,2.35,0.029,-2.0,1
5.0,1.04,0.0,3.33,2.92,0.4,0.42,0.062,0.0,1
5.0,1.25,0.0,0.83,0.42,0.4,0.42,0.075,0.0,1
6.0,1.25,0.0,0.83,0.42,0.4,0.42,0.075,0.0,1
0.0,0.71,0.0,12.14,8.57,2.9,0.71,0.0,-3.0,1
0.0,46.67,11.67,26.67,10.0,10.0,23.33,0.28300000000000003,17.0,1
0.0,0.0,0.0,14.52,0.81,4.8,4.84,0.379,-3.0,0
0.0,64.71,5.88,14.71,2.94,5.9,14.71,0.0,8.0,1
0.0,64.71,5.88,14.71,2.94,5.9,14.71,0.0,8.0,1
3.0,2.13,0.0,40.43,2.13,14.9,10.64,0.404,-5.0,0
0.0,0.0,0.0,3.33,3.33,3.3,0.0,0.667,3.0,1
0.0,0.0,0.0,3.33,3.33,3.3,0.0,0.6,2.0,1
0.0,0.0,0.0,59.38,0.0,28.1,25.0,0.016,-8.0,1
2.0,0.0,0.0,3.33,3.33,3.3,0.0,0.6,2.0,1
0.0,0.0,0.0,3.33,0.0,3.3,0.0,0.5329999999999999,1.0,1
0.0,0.0,0.0,9.41,2.35,3.5,3.53,0.018000000000000002,-6.0,1
0.0,0.0,0.0,9.41,2.35,3.5,3.53,0.018000000000000002,-6.0,1
3.0,0.0,0.0,11.72,8.59,1.6,0.78,0.012,-1.0,0
0.0,0.42,0.0,15.83,0.83,4.2,5.0,0.4,-3.0,0
0.0,0.0,0.0,15.32,0.81,4.0,4.84,0.387,-3.0,0
2.0,6.67,0.0,6.67,0.0,0.0,0.0,0.0,1.0,0
5.0,0.0,0.0,29.23,21.54,0.0,4.62,0.092,4.0,1
0.0,2.08,0.0,62.5,0.0,20.8,22.92,0.01,-7.0,1
0.0,66.67,6.67,13.33,3.33,6.7,16.67,0.0,9.0,1
2.0,0.0,0.0,14.29,4.76,0.0,23.81,1.476,12.0,0
0.0,3.0,0.0,78.0,0.0,4.0,8.0,0.0,-5.0,1
0.0,0.71,0.0,12.14,8.57,2.9,0.71,0.0,-3.0,1
0.0,50.0,10.94,21.88,9.38,6.2,21.88,0.469,19.0,1
2.0,14.0,1.0,74.0,22.0,6.0,8.0,0.44,8.0,0
1.0,31.58,26.32,68.42,65.79,2.6,2.63,0.066,23.0,0
1.0,28.57,25.0,57.14,57.14,1.8,3.57,0.116,25.0,0
1.0,33.33,25.0,55.56,50.0,2.8,8.33,0.153,24.0,0
3.0,0.0,0.0,14.52,10.48,1.6,0.0,0.016,0.0,0
0.0,0.0,0.0,6.67,3.33,3.3,0.0,0.583,2.0,1
5.0,11.54,3.85,38.46,38.46,0.0,0.0,0.0,13.0,0
2.0,6.67,3.33,20.0,13.33,0.0,6.67,0.067,3.0,0
0.0,0.0,0.0,59.38,0.0,28.1,25.0,0.016,-8.0,1
0.0,0.0,0.0,4.71,2.35,2.4,1.18,0.024,-3.0,1
0.0,0.0,0.0,9.41,2.35,3.5,3.53,0.018000000000000002,-6.0,1
3.0,78.57,14.29,0.0,0.0,0.0,0.0,0.7859999999999999,26.0,0
2.0,0.0,0.0,90.0,36.67,3.3,3.33,0.4,12.0,0
0.0,1.95,0.78,14.06,0.78,4.7,4.69,0.398,-2.0,0
0.0,0.0,0.0,13.56,0.85,5.1,4.24,0.398,-3.0,0
2.0,16.0,1.0,74.0,26.0,6.0,8.0,0.46,10.0,0
2.0,14.0,1.0,74.0,22.0,6.0,8.0,0.44,8.0,0
3.0,17.86,17.86,64.29,50.0,0.0,7.14,1.643,35.0,1
7.0,0.0,0.0,76.92,41.03,0.0,5.13,0.064,13.0,0
6.0,5.13,3.85,76.92,48.72,0.0,0.0,0.128,18.0,0
5.0,0.0,0.0,87.5,55.0,0.0,0.0,0.062,14.0,0
4.0,18.68,10.99,31.87,21.98,1.1,4.4,0.385,20.0,0
3.0,0.0,0.0,12.3,9.02,1.6,0.82,0.012,0.0,0
0.0,0.0,0.0,3.33,3.33,3.3,0.0,0.6,2.0,1
0.0,0.88,0.0,21.24,0.88,7.1,7.08,0.327,-5.0,0
0.0,0.44,0.0,17.7,0.88,5.3,6.19,0.336,-4.0,0
0.0,0.44,0.0,17.7,0.88,5.3,6.19,0.336,-4.0,0
0.0,46.88,6.25,25.0,9.38,6.2,21.88,0.406,14.0,1
0.0,46.88,6.25,25.0,9.38,6.2,21.88,0.312,13.0,1
0.0,46.88,6.25,25.0,9.38,6.2,21.88,0.312,13.0,1
0.0,0.0,0.0,9.41,2.35,3.5,3.53,0.018000000000000002,-6.0,1
3.0,1.79,0.0,5.36,5.36,0.0,17.86,0.696,4.0,1
0.0,0.0,0.0,64.44,2.22,11.1,24.44,0.0,-6.0,1
0.0,1.04,0.0,77.08,0.0,14.6,10.42,0.0,-6.0,1
0.0,0.0,0.0,64.44,2.22,11.1,24.44,0.0,-6.0,1
0.0,0.0,0.0,76.19,0.0,2.4,7.14,0.0,-3.0,1
0.0,2.38,0.0,76.19,0.0,2.4,7.14,0.0,-3.0,1
